Bulan_Tahun,Curah_Hujan,Time_Index,Kategori
2025-08-08,60.6,586,Sedang
2025-08-09,39.15,587,Sedang
2025-08-10,15.49,588,Rendah
2025-08-11,25.25,589,Rendah
2025-08-12,4.15,590,Rendah
2025-08-13,4.8,591,Rendah
2025-08-14,1.71,592,Rendah
2025-08-15,13.62,593,Rendah
2025-08-16,0.27,594,Rendah
2025-08-17,1.68,595,Rendah
2025-08-18,0.67,596,Rendah
2025-08-19,0.59,597,Rendah
2025-08-20,0.56,598,Rendah
2025-08-21,0.2,599,Rendah
2025-08-22,1.67,600,Rendah
2025-08-23,3.18,601,Rendah
2025-08-24,2.22,602,Rendah
2025-08-25,2.17,603,Rendah
2025-08-26,0.98,604,Rendah
2025-08-27,1.16,605,Rendah
2025-08-28,47.56,606,Sedang
2025-08-29,21.25,607,Rendah
2025-08-30,5.58,608,Rendah
2025-08-31,1.61,609,Rendah
2025-09-01,4.1,610,Rendah
2025-09-02,5.72,611,Rendah
2025-09-03,14.92,612,Rendah
2025-09-04,31.82,613,Rendah
2025-09-05,9.74,614,Rendah
2025-09-06,5.88,615,Rendah
2025-09-07,6.11,616,Rendah
2025-09-08,0.3,617,Rendah
2025-09-09,3.03,618,Rendah
2025-09-10,7.98,619,Rendah
2025-09-11,31.47,620,Rendah
2025-09-12,6.43,621,Rendah
2025-09-13,12.1,622,Rendah
2025-09-14,12.01,623,Rendah
2025-09-15,7.68,624,Rendah
2025-09-16,10.74,625,Rendah
2025-09-17,3.47,626,Rendah
2025-09-18,4.07,627,Rendah
2025-09-19,1.44,628,Rendah
2025-09-20,7.05,629,Rendah
2025-09-21,5.82,630,Rendah
2025-09-22,5.11,631,Rendah
2025-09-23,15.26,632,Rendah
2025-09-24,11.54,633,Rendah
2025-09-25,2.41,634,Rendah
2025-09-26,0.48,635,Rendah
2025-09-27,2.57,636,Rendah
2025-09-28,34.83,637,Rendah
2025-09-29,4.62,638,Rendah
2025-09-30,1.93,639,Rendah
2025-10-01,3.5,640,Rendah
2025-10-02,1.58,641,Rendah
2025-10-03,6.73,642,Rendah
2025-10-04,0.16,643,Rendah
2025-10-05,3.43,644,Rendah
2025-10-06,4.58,645,Rendah
2025-10-07,3.59,646,Rendah
2025-10-08,0.06,647,Rendah
2025-10-09,0.97,648,Rendah
2025-10-10,1.32,649,Rendah
2025-10-11,7.06,650,Rendah
2025-10-12,12.72,651,Rendah
2025-10-13,0.67,652,Rendah
2025-10-14,9.25,653,Rendah
2025-10-15,5.45,654,Rendah
2025-10-16,17.29,655,Rendah
2025-10-17,25.28,656,Rendah
2025-10-18,34.46,657,Rendah
2025-10-19,12.59,658,Rendah
2025-10-20,9.28,659,Rendah
2025-10-21,2.83,660,Rendah
2025-10-22,2.57,661,Rendah
2025-10-23,0.74,662,Rendah
2025-10-24,10.23,663,Rendah
2025-10-25,6.08,664,Rendah
2025-10-26,3.33,665,Rendah
2025-10-27,0.88,666,Rendah
2025-10-28,0.56,667,Rendah
2025-10-29,0.5,668,Rendah
2025-10-30,0.71,669,Rendah
2025-10-31,0.69,670,Rendah
2025-11-01,2.69,671,Rendah
2025-11-02,3.11,672,Rendah
2025-11-03,3.71,673,Rendah
2025-11-04,13.2,674,Rendah
2025-11-05,4.58,675,Rendah
2025-11-06,6.45,676,Rendah
2025-11-07,13.82,677,Rendah
2025-11-08,7.99,678,Rendah
2025-11-09,8.64,679,Rendah
2025-11-10,7.23,680,Rendah
2025-11-11,25.51,681,Rendah
2025-11-12,9.66,682,Rendah
2025-11-13,2.14,683,Rendah
2025-11-14,1.6,684,Rendah
2025-11-15,10.92,685,Rendah
2025-11-16,23.82,686,Rendah
2025-11-17,45.74,687,Sedang
2025-11-18,13.08,688,Rendah
2025-11-19,26.08,689,Rendah
2025-11-20,42.54,690,Sedang
2025-11-21,45.04,691,Sedang
2025-11-22,53.26,692,Sedang
2025-11-23,59.32,693,Sedang
